cluster_id,timeslice,jobs_running
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,3
0,11,3
0,12,3
0,13,3
0,14,3
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
1,0,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,2
1,9,2
1,10,4
1,11,4
1,12,5
1,13,5
1,14,5
1,15,7
1,16,7
1,17,7
1,18,6
1,19,6
1,20,4
1,21,4
1,22,4
1,23,4
1,24,3
1,25,1
1,26,1
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,1
2,16,1
2,17,1
2,18,2
2,19,2
2,20,2
2,21,2
2,22,2
2,23,2
2,24,2
2,25,2
2,26,2
2,27,2
2,28,2
2,29,2
2,30,2
2,31,2
2,32,2
2,33,2
2,34,2
2,35,1
2,36,1
2,37,1
2,38,1
2,39,1
2,40,1
2,41,1
2,42,1
